N_LINHA,N_CATEGORIA,N_PRODUTO,QTD_ITEM,V_VENDA,V_CUSTO_VENDA,V_PERC_MARGEM_T,CLASSIFICACAO
1,2,2,98.0,630.0,2.3,0.5461,DB
1,3,4,660.0,3410.4,60.0,0.6286,BB
1,1,1,480.0,2534.4,2.3,0.573,BB
1,1,2,512.0,6625.84,260.0,0.6444,AB
2,4,6,504.0,2648.16,2.3,0.3981,EB
1,2,3,264.0,1558.44,2.3,0.6353,CB
1,1,1,108.0,1258.2,2.3,0.6778,DB
1,1,1,204.0,1009.8,2.3,0.5660000000000001,DB
2,3,7,420.0,3737.04,60.0,0.6151,BA
2,2,8,223.0,2935.04,60.0,0.6357,BB
1,1,1,120.0,540.0,2.3,-0.1645,FA
1,1,1,5000.0,26250.0,1280.0,0.1558,FB
1,1,1,228.0,1575.48,2.3,0.556,CB
1,1,1,6.0,1276.2,2.3,0.6685,DB
2,2,7,2508.0,26966.76,1280.0,0.5357,AB
2,2,6,2208.0,21018.72,1280.0,0.4716,EB
3,3,4,1348.0,6026.16,60.0,0.0753,FB
1,1,1,3000.0,5130.0,60.0,0.4809,EB
2,3,6,91.0,7456.99,260.0,0.6408,AA
2,2,3,624.0,1738.56,2.3,0.5622,CB
1,2,6,372.0,3053.4,60.0,0.5696,BB
1,2,4,106.0,1638.4,2.3,0.6474,CB
1,1,2,1152.0,3300.48,60.0,0.5218,BB
